Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=20, do_test=True, do_train=True, exp_name=PosixPath('linear_concat_20'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 0.42807| Valid loss = -1252.62695-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> <[1 1 1 1 1 1 0]> Train loss = 0.28811| Valid loss = -432.22897-> best
[ 03/20 ] <[0 1 0 1 0 1 1]> Train loss = 0.47405| Valid loss = -693.09208
[ 04/20 ] <[0 0 0 1 0 1 0]> <[0 0 0 1 0 1 0]> Train loss = 0.18998| Valid loss = -349.18934-> best
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 0.48581| Valid loss = -522.00910
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.49567| Valid loss = -366.02181
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.49567| Valid loss = -366.02181
[ 08/20 ] <[0 0 0 0 0 1 0]> <[0 0 0 0 0 1 0]> Train loss = 0.13049| Valid loss = -252.04911-> best
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = -0.98015| Valid loss = -307.77344
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 0.48077| Valid loss = -589.92102
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 0.47995| Valid loss = -391.33465
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.44006| Valid loss = -431.08568
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 0.48442| Valid loss = -602.05194
[ 14/20 ] <[1 0 1 0 0 1 0]> <[1 0 1 0 0 1 0]> Train loss = 0.19402| Valid loss = -218.59048-> best
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = 0.10911| Valid loss = -247.06159
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = -1.49729| Valid loss = -371.39768
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = 0.49917| Valid loss = -553.58509
[ 18/20 ] <[0 1 0 1 0 0 1]> Train loss = 0.41309| Valid loss = -1053.69726
[ 19/20 ] <[1 0 1 0 0 0 0]> Train loss = -0.35717| Valid loss = -227.62658
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = -0.97219| Valid loss = -2235.11852

====[ GA iter 01/50 ]====
[ 01/20 ] <[0 1 1 0 0 0 0]> Train loss = -0.99925| Valid loss = -49344.81329
[ 02/20 ] <[1 1 0 1 0 0 1]> Train loss = 0.49949| Valid loss = -416.51898
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.13049| Valid loss = -252.04911
[ 04/20 ] <[1 1 1 1 0 1 0]> Train loss = 0.26191| Valid loss = -361.50239
[ 05/20 ] <[1 0 1 0 1 1 0]> Train loss = 0.21075| Valid loss = -284.69901
[ 06/20 ] <[0 0 1 1 0 0 1]> Train loss = 0.07162| Valid loss = -971.71573
[ 07/20 ] <[1 1 0 1 0 0 0]> Train loss = 0.21476| Valid loss = -310.33653
[ 08/20 ] <[1 0 0 0 1 1 0]> Train loss = -0.09896| Valid loss = -365.88639
[ 09/20 ] <[1 1 1 0 0 1 1]> Train loss = 0.53371| Valid loss = -349.42596
[ 10/20 ] <[0 0 1 1 1 1 0]> Train loss = 0.23354| Valid loss = -849.58803
[ 11/20 ] <[1 0 1 0 0 0 0]> Train loss = -0.35717| Valid loss = -227.62658
[ 12/20 ] <[1 1 0 0 1 0 0]> Train loss = -1.27240| Valid loss = -525.41666
[ 13/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.13049| Valid loss = -252.04911
[ 14/20 ] <[0 1 0 1 0 0 1]> Train loss = 0.41309| Valid loss = -1053.69726
