Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=5, do_test=True, do_train=True, exp_name=PosixPath('linear_concat_5'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 0.44462| Valid loss = -368.06556-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> Train loss = 0.18309| Valid loss = -840.04706
[ 03/20 ] <[0 1 0 1 0 1 1]> <[0 1 0 1 0 1 1]> Train loss = 0.45108| Valid loss = -276.11773-> best
[ 04/20 ] <[0 0 0 1 0 1 0]> <[0 0 0 1 0 1 0]> Train loss = 0.13664| Valid loss = -268.60058-> best
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 0.42974| Valid loss = -283.13508
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.41538| Valid loss = -508.42357
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.41538| Valid loss = -508.42357
[ 08/20 ] <[0 0 0 0 0 1 0]> <[0 0 0 0 0 1 0]> Train loss = 0.09903| Valid loss = -117.93855-> best
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = 0.16946| Valid loss = -196.27820
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 0.41701| Valid loss = -280.64810
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 0.42232| Valid loss = -295.93378
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.38487| Valid loss = -294.93105
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 0.41496| Valid loss = -494.79856
[ 14/20 ] <[1 0 1 0 0 1 0]> <[1 0 1 0 0 1 0]> Train loss = 0.14498| Valid loss = -106.99133-> best
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = -12.75572| Valid loss = -3275.57664
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = 0.12599| Valid loss = -189.77075
