Namespace(batch_size=128, bit_range=2, code=[1, 1, 1, 1, 1, 1, 1], concat_n=1, do_test=True, do_train=True, dropout=0.5, exp_name=PosixPath('rnn_8_512_0.5_concat_1'), ga=True, hidden_dim=512, hidden_layers=8, label=36, lr=0.0003, m_type='rnn', max_node=7, nhead=64, num_chrom=20, num_epoch=500, num_iter=50, patience=1000, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 0.51074| Valid loss = 0.26764-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> Train loss = 0.75465| Valid loss = 0.56685
[ 03/20 ] <[0 1 0 1 0 1 1]> <[0 1 0 1 0 1 1]> Train loss = 0.51905| Valid loss = 0.20887-> best
[ 04/20 ] <[0 0 0 1 0 1 0]> Train loss = 0.75408| Valid loss = 0.57184
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 0.48595| Valid loss = 0.24714
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.52865| Valid loss = 0.21716
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.52865| Valid loss = 0.21716
[ 08/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.00382| Valid loss = 0.62052
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = 0.76399| Valid loss = 0.56858
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 0.52336| Valid loss = 0.26625
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 0.59521| Valid loss = 0.24295
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.55156| Valid loss = 0.21613
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 0.51868| Valid loss = 0.22827
[ 14/20 ] <[1 0 1 0 0 1 0]> Train loss = 1.07034| Valid loss = 0.63631
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = 1.12538| Valid loss = 0.64546
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = 0.79672| Valid loss = 0.58992
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = 0.47150| Valid loss = 0.25183
[ 18/20 ] <[0 1 0 1 0 0 1]> <[0 1 0 1 0 0 1]> Train loss = 0.52188| Valid loss = 0.20473-> best
[ 19/20 ] <[1 0 1 0 0 0 0]> Train loss = 1.07476| Valid loss = 0.64378
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = 0.44579| Valid loss = 0.23047

====[ GA iter 01/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> Train loss = 0.48116| Valid loss = 0.23053
[ 02/20 ] <[0 0 1 0 0 0 0]> Train loss = 1.11047| Valid loss = 0.63605
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.00382| Valid loss = 0.62052
[ 04/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.50761| Valid loss = 0.21415
