Namespace(batch_size=128, bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=5, do_test=True, do_train=True, dropout=0.5, exp_name=PosixPath('transformer_8_512_64_0.5_minmax_concat_5'), ga=True, hidden_dim=512, hidden_layers=8, label=36, lr=0.0003, m_type='transformer', max_node=7, nhead=64, num_chrom=20, num_epoch=500, num_iter=50, patience=1000, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 1.06658| Valid loss = 0.64547-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> Train loss = 1.03365| Valid loss = 0.64878
[ 03/20 ] <[0 1 0 1 0 1 1]> Train loss = 1.06728| Valid loss = 0.65798
[ 04/20 ] <[0 0 0 1 0 1 0]> Train loss = 1.03108| Valid loss = 0.66263
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 1.07232| Valid loss = 0.65282
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 1.08416| Valid loss = 0.65995
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 1.08416| Valid loss = 0.65995
[ 08/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.03278| Valid loss = 0.65760
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = 1.47991| Valid loss = 0.65104
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 1.06678| Valid loss = 0.65220
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 1.07301| Valid loss = 0.65393
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 1.02217| Valid loss = 0.65758
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 1.06935| Valid loss = 0.65382
[ 14/20 ] <[1 0 1 0 0 1 0]> Train loss = 1.02320| Valid loss = 0.64812
[ 15/20 ] <[1 0 0 0 0 0 0]> <[1 0 0 0 0 0 0]> Train loss = 1.08415| Valid loss = 0.62981-> best
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = 1.04493| Valid loss = 0.64955
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = 1.05693| Valid loss = 0.64831
[ 18/20 ] <[0 1 0 1 0 0 1]> Train loss = 1.08406| Valid loss = 0.63805
[ 19/20 ] <[1 0 1 0 0 0 0]> Train loss = 1.05737| Valid loss = 0.64960
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = 1.08267| Valid loss = 0.64509

====[ GA iter 01/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> Train loss = 1.09897| Valid loss = 0.64027
[ 02/20 ] <[0 0 1 0 0 0 0]> Train loss = 1.10038| Valid loss = 0.64879
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.03278| Valid loss = 0.65760
[ 04/20 ] <[1 1 1 1 0 0 1]> Train loss = 1.07030| Valid loss = 0.65253
[ 05/20 ] <[1 0 1 0 1 1 0]> Train loss = 1.02315| Valid loss = 0.63505
[ 06/20 ] <[0 0 1 1 0 0 1]> Train loss = 1.06800| Valid loss = 0.64647
[ 07/20 ] <[1 1 0 1 1 0 0]> Train loss = 1.04315| Valid loss = 0.65736
[ 08/20 ] <[0 1 0 0 1 1 0]> Train loss = 1.08524| Valid loss = 0.65420
[ 09/20 ] <[1 1 1 0 0 1 1]> Train loss = 1.08668| Valid loss = 0.64933
[ 10/20 ] <[0 0 1 1 1 1 0]> Train loss = 1.06284| Valid loss = 0.64039
[ 11/20 ] <[0 1 0 1 1 0 1]> Train loss = 1.06915| Valid loss = 0.65062
[ 12/20 ] <[1 1 0 1 0 1 1]> Train loss = 1.07082| Valid loss = 0.65128
