Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=20, do_test=True, do_train=True, exp_name=PosixPath('linear_minmax_concat_20'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 0.29927| Valid loss = -456.38529-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> <[1 1 1 1 1 1 0]> Train loss = 0.28903| Valid loss = -445.30333-> best
[ 03/20 ] <[0 1 0 1 0 1 1]> Train loss = 0.03919| Valid loss = -19754.31379
[ 04/20 ] <[0 0 0 1 0 1 0]> Train loss = -0.57801| Valid loss = -6058.73142
[ 05/20 ] <[0 0 1 1 1 0 1]> <[0 0 1 1 1 0 1]> Train loss = 0.45414| Valid loss = -393.58835-> best
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = -3.54893| Valid loss = -3664.70823
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = -3.54893| Valid loss = -3664.70823
[ 08/20 ] <[0 0 0 0 0 1 0]> Train loss = -0.00235| Valid loss = -1663.85707
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = -14.47216| Valid loss = -81685.60793
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 0.48151| Valid loss = -405.86438
[ 11/20 ] <[0 0 1 0 0 1 1]> <[0 0 1 0 0 1 1]> Train loss = 0.17127| Valid loss = -299.72434-> best
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = -1.03881| Valid loss = -436.90929
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = -2.50554| Valid loss = -5260.49700
[ 14/20 ] <[1 0 1 0 0 1 0]> Train loss = -3.80710| Valid loss = -8313686.42414
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = -0.33789| Valid loss = -1501.83375
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = -1.06279| Valid loss = -7156.07459
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = -0.72456| Valid loss = -4822.80359
[ 18/20 ] <[0 1 0 1 0 0 1]> Train loss = 0.47242| Valid loss = -410.22564
[ 19/20 ] <[1 0 1 0 0 0 0]> <[1 0 1 0 0 0 0]> Train loss = 0.15111| Valid loss = -256.34646-> best
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = 0.08584| Valid loss = -420.74809

====[ GA iter 01/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> Train loss = -3.70641| Valid loss = -6745.62519
[ 02/20 ] <[0 0 1 0 0 0 0]> Train loss = -0.87665| Valid loss = -1202.17563
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = -0.00235| Valid loss = -1663.85707
[ 04/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.51215| Valid loss = -393.08693
