Namespace(batch_size=128, bit_range=2, code=[1, 1, 1, 1, 1, 1, 1], concat_n=5, do_test=True, do_train=True, dropout=0.5, exp_name=PosixPath('rnn_8_512_0.5_minmax_concat_5'), ga=True, hidden_dim=512, hidden_layers=8, label=36, lr=0.0003, m_type='rnn', max_node=7, nhead=64, num_chrom=20, num_epoch=500, num_iter=50, patience=1000, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 1.06639| Valid loss = 0.64044-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> Train loss = 1.07137| Valid loss = 0.64124
[ 03/20 ] <[0 1 0 1 0 1 1]> <[0 1 0 1 0 1 1]> Train loss = 1.07478| Valid loss = 0.62787-> best
[ 04/20 ] <[0 0 0 1 0 1 0]> Train loss = 1.01922| Valid loss = 0.64346
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 1.06590| Valid loss = 0.64262
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 1.07046| Valid loss = 0.64342
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 1.07046| Valid loss = 0.64342
[ 08/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.02446| Valid loss = 0.64793
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = 1.03668| Valid loss = 0.64563
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 1.06978| Valid loss = 0.63630
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 1.06487| Valid loss = 0.63801
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 1.01339| Valid loss = 0.64972
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 1.06714| Valid loss = 0.63127
[ 14/20 ] <[1 0 1 0 0 1 0]> Train loss = 1.13007| Valid loss = 0.64122
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = 1.11183| Valid loss = 0.64241
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = 1.01642| Valid loss = 0.63787
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = 1.06605| Valid loss = 0.64162
[ 18/20 ] <[0 1 0 1 0 0 1]> Train loss = 1.07020| Valid loss = 0.63787
[ 19/20 ] <[1 0 1 0 0 0 0]> Train loss = 0.99907| Valid loss = 0.63710
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = 1.05748| Valid loss = 0.64263

====[ GA iter 01/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> Train loss = 1.06059| Valid loss = 0.64181
[ 02/20 ] <[0 0 1 0 0 0 0]> Train loss = 1.09409| Valid loss = 0.63553
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.02446| Valid loss = 0.64793
[ 04/20 ] <[1 1 1 1 0 0 1]> Train loss = 1.07305| Valid loss = 0.64517
[ 05/20 ] <[1 0 1 0 1 1 0]> Train loss = 1.01357| Valid loss = 0.63413
[ 06/20 ] <[0 0 1 1 0 0 1]> Train loss = 1.06665| Valid loss = 0.63080
[ 07/20 ] <[1 1 0 1 1 0 0]> Train loss = 0.99308| Valid loss = 0.63456
[ 08/20 ] <[0 1 0 0 1 1 0]> Train loss = 1.04100| Valid loss = 0.63754
[ 09/20 ] <[1 1 1 0 0 1 1]> Train loss = 1.07667| Valid loss = 0.62975
[ 10/20 ] <[0 0 1 1 1 1 0]> Train loss = 1.11303| Valid loss = 0.63975
[ 11/20 ] <[0 1 0 1 1 0 1]> Train loss = 1.07017| Valid loss = 0.63525
[ 12/20 ] <[1 1 1 1 1 1 1]> Train loss = 1.07525| Valid loss = 0.64560
[ 13/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.02446| Valid loss = 0.64793
[ 14/20 ] <[1 0 1 0 0 0 0]> Train loss = 0.99907| Valid loss = 0.63710
[ 15/20 ] <[0 0 0 0 0 0 1]> Train loss = 1.02762| Valid loss = 0.63253
[ 16/20 ] <[0 0 1 1 1 1 0]> Train loss = 1.11303| Valid loss = 0.63975
[ 17/20 ] <[0 1 0 1 0 1 0]> Train loss = 1.05168| Valid loss = 0.63659
[ 18/20 ] <[0 0 0 0 0 0 1]> Train loss = 1.02762| Valid loss = 0.63253
[ 19/20 ] <[0 1 0 0 1 0 0]> Train loss = 1.01642| Valid loss = 0.63787
[ 20/20 ] <[1 1 1 1 0 0 1]> Train loss = 1.07305| Valid loss = 0.64517

====[ GA iter 02/50 ]====
[ 01/20 ] <[1 1 1 1 1 1 1]> Train loss = 1.07525| Valid loss = 0.64560
[ 02/20 ] <[0 0 1 1 0 0 1]> Train loss = 1.06665| Valid loss = 0.63080
[ 03/20 ] <[0 0 1 0 0 0 0]> Train loss = 1.09409| Valid loss = 0.63553
[ 04/20 ] <[1 1 0 0 1 1 0]> Train loss = 1.02746| Valid loss = 0.64476
[ 05/20 ] <[1 1 0 1 1 1 0]> Train loss = 1.10625| Valid loss = 0.63610
[ 06/20 ] <[0 0 1 0 1 1 0]> Train loss = 1.06137| Valid loss = 0.63412
[ 07/20 ] <[1 1 0 0 0 0 1]> Train loss = 1.06322| Valid loss = 0.65193
[ 08/20 ] <[0 1 1 1 1 1 1]> Train loss = 1.06053| Valid loss = 0.63005
[ 09/20 ] <[0 0 0 0 0 1 0]> Train loss = 1.02446| Valid loss = 0.64793
[ 10/20 ] <[1 0 0 1 1 1 1]> Train loss = 1.06059| Valid loss = 0.64181
[ 11/20 ] <[0 1 0 1 1 0 0]> Train loss = 1.05274| Valid loss = 0.64091
[ 12/20 ] <[0 1 0 1 0 1 0]> Train loss = 1.05168| Valid loss = 0.63659
[ 13/20 ] <[0 0 0 0 0 0 1]> Train loss = 1.02762| Valid loss = 0.63253
[ 14/20 ] <[0 0 1 0 0 0 0]> Train loss = 1.09409| Valid loss = 0.63553
[ 15/20 ] <[0 0 0 0 0 0 1]> Train loss = 1.02762| Valid loss = 0.63253
[ 16/20 ] <[0 0 0 0 1 1 0]> Train loss = 1.01584| Valid loss = 0.64171
[ 17/20 ] <[0 0 0 0 1 1 0]> Train loss = 1.01584| Valid loss = 0.64171
