Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=10, do_test=True, do_train=True, exp_name=PosixPath('linear_minmax_concat_10'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 20/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310

====[ GA iter 03/50 ]====
[ 01/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07207| Valid loss = -604.89284
[ 02/20 ] <[1 0 0 1 1 1 1]> Train loss = -3.37292| Valid loss = -254.10972
[ 03/20 ] <[0 0 0 1 1 0 0]> Train loss = 0.10183| Valid loss = -467.06394
[ 04/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07207| Valid loss = -604.89284
[ 05/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 06/20 ] <[0 1 0 0 0 1 0]> Train loss = -0.15491| Valid loss = -498.67933
[ 07/20 ] <[1 1 0 1 1 0 0]> Train loss = -3.38620| Valid loss = -43312.72749
[ 08/20 ] <[0 0 1 1 0 0 1]> Train loss = -1.71367| Valid loss = -10737.13805
[ 09/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 10/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 11/20 ] <[1 0 0 1 1 0 0]> Train loss = -2.81737| Valid loss = -2362.24530
[ 12/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 13/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 14/20 ] <[0 0 1 0 1 1 0]> Train loss = -1.29105| Valid loss = -989.86696
[ 15/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 16/20 ] <[1 1 1 1 0 0 0]> Train loss = -2.66173| Valid loss = -6640.28666
[ 17/20 ] <[0 1 1 0 0 0 0]> Train loss = -3.57134| Valid loss = -1527.25392
[ 18/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 19/20 ] <[1 1 0 1 0 0 0]> Train loss = -2.33488| Valid loss = -1549.80879
[ 20/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310

====[ GA iter 04/50 ]====
[ 01/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 02/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 04/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07207| Valid loss = -604.89284
[ 05/20 ] <[0 0 1 0 0 1 1]> Train loss = -8.36787| Valid loss = -88471.76731
[ 06/20 ] <[1 1 0 1 0 0 1]> Train loss = -4.18984| Valid loss = -236.87904
[ 07/20 ] <[0 0 1 0 0 1 1]> Train loss = -8.36787| Valid loss = -88471.76731
[ 08/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.40886| Valid loss = -295.34922
[ 09/20 ] <[0 1 1 0 0 0 0]> Train loss = -3.57134| Valid loss = -1527.25392
[ 10/20 ] <[1 1 1 1 0 0 0]> Train loss = -2.66173| Valid loss = -6640.28666
[ 11/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 12/20 ] <[0 0 1 0 0 1 1]> Train loss = -8.36787| Valid loss = -88471.76731
[ 13/20 ] <[0 1 1 0 1 1 0]> Train loss = -2.30924| Valid loss = -1095.93314
[ 14/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 15/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 16/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 17/20 ] <[0 0 1 0 0 0 1]> Train loss = -4.45471| Valid loss = -10192.44791
[ 18/20 ] <[1 1 1 0 0 0 1]> Train loss = -4.69583| Valid loss = -246.46532
[ 19/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 20/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010

====[ GA iter 05/50 ]====
