Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=1, do_test=True, do_train=True, exp_name=PosixPath('linear_concat_1'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[1 1 1 1 1 0 1]> <[1 1 1 1 1 0 1]> Train loss = 0.11772| Valid loss = -0.01714-> best
[ 02/20 ] <[1 1 1 1 1 1 0]> <[1 1 1 1 1 1 0]> Train loss = 0.14978| Valid loss = 0.03146-> best
[ 03/20 ] <[0 1 0 1 0 1 1]> <[0 1 0 1 0 1 1]> Train loss = 0.13889| Valid loss = 0.06360-> best
[ 04/20 ] <[0 0 0 1 0 1 0]> <[0 0 0 1 0 1 0]> Train loss = 0.10805| Valid loss = 0.08158-> best
[ 05/20 ] <[0 0 1 1 1 0 1]> Train loss = 0.11019| Valid loss = 0.01837
[ 06/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.11713| Valid loss = -0.03064
[ 07/20 ] <[1 0 1 0 1 0 1]> Train loss = 0.11713| Valid loss = -0.03064
[ 08/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 09/20 ] <[0 0 1 1 0 1 0]> Train loss = 0.14048| Valid loss = 0.06522
[ 10/20 ] <[1 0 0 1 1 0 1]> Train loss = 0.09206| Valid loss = 0.06780
[ 11/20 ] <[0 0 1 0 0 1 1]> Train loss = 0.12447| Valid loss = 0.01505
[ 12/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.10846| Valid loss = 0.07149
[ 13/20 ] <[0 1 1 0 1 0 1]> Train loss = 0.11006| Valid loss = 0.01216
[ 14/20 ] <[1 0 1 0 0 1 0]> Train loss = 0.13207| Valid loss = -0.00874
[ 15/20 ] <[1 0 0 0 0 0 0]> Train loss = 0.05696| Valid loss = -0.03060
[ 16/20 ] <[0 1 0 0 1 0 0]> Train loss = 0.10336| Valid loss = 0.03808
[ 17/20 ] <[0 1 1 1 1 0 1]> Train loss = 0.11080| Valid loss = 0.02291
[ 18/20 ] <[0 1 0 1 0 0 1]> Train loss = 0.10618| Valid loss = 0.04147
[ 19/20 ] <[1 0 1 0 0 0 0]> Train loss = 0.08316| Valid loss = -0.09303
[ 20/20 ] <[0 1 0 1 1 1 1]> Train loss = 0.13920| Valid loss = 0.06175

====[ GA iter 01/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> <[1 0 0 1 1 1 1]> Train loss = 0.12598| Valid loss = 0.10042-> best
[ 02/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07525| Valid loss = -0.06456
[ 03/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 04/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.11724| Valid loss = -0.01460
[ 05/20 ] <[1 0 1 0 1 1 0]> Train loss = 0.14936| Valid loss = 0.02069
[ 06/20 ] <[0 0 1 1 0 0 1]> Train loss = 0.10981| Valid loss = 0.01944
[ 07/20 ] <[1 1 0 1 0 0 0]> Train loss = 0.10472| Valid loss = 0.04722
[ 08/20 ] <[1 0 0 0 1 1 0]> Train loss = 0.12495| Valid loss = 0.09236
[ 09/20 ] <[1 1 1 0 0 1 1]> Train loss = 0.13426| Valid loss = -0.03576
[ 10/20 ] <[0 0 1 1 1 1 0]> Train loss = 0.14076| Valid loss = 0.06353
[ 11/20 ] <[0 1 0 1 1 0 1]> Train loss = 0.10661| Valid loss = 0.04006
[ 12/20 ] <[1 1 1 1 1 1 1]> Train loss = 0.15015| Valid loss = 0.01002
[ 13/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 14/20 ] <[1 0 1 0 0 0 0]> Train loss = 0.08316| Valid loss = -0.09303
[ 15/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.05646| Valid loss = -0.28299
[ 16/20 ] <[0 0 1 1 1 1 0]> Train loss = 0.14076| Valid loss = 0.06353
[ 17/20 ] <[0 1 0 1 0 1 0]> Train loss = 0.13847| Valid loss = 0.08717
[ 18/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.05646| Valid loss = -0.28299
[ 19/20 ] <[0 1 0 0 1 0 0]> Train loss = 0.10336| Valid loss = 0.03808
[ 20/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.11724| Valid loss = -0.01460

====[ GA iter 02/50 ]====
[ 01/20 ] <[0 1 0 1 1 0 1]> Train loss = 0.10661| Valid loss = 0.04006
[ 02/20 ] <[1 0 1 0 1 1 0]> Train loss = 0.14936| Valid loss = 0.02069
[ 03/20 ] <[1 0 1 0 0 0 0]> Train loss = 0.08316| Valid loss = -0.09303
[ 04/20 ] <[1 0 0 0 1 1 0]> Train loss = 0.12495| Valid loss = 0.09236
[ 05/20 ] <[1 0 0 1 1 1 0]> <[1 0 0 1 1 1 0]> Train loss = 0.12555| Valid loss = 0.10125-> best
[ 06/20 ] <[1 0 1 0 1 1 0]> Train loss = 0.14936| Valid loss = 0.02069
[ 07/20 ] <[0 1 0 0 0 0 1]> Train loss = 0.08180| Valid loss = -0.07268
[ 08/20 ] <[0 1 0 1 1 0 1]> Train loss = 0.10661| Valid loss = 0.04006
[ 09/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 10/20 ] <[1 0 0 1 1 1 1]> Train loss = 0.12598| Valid loss = 0.10042
[ 11/20 ] <[0 0 0 1 1 0 0]> Train loss = 0.07353| Valid loss = 0.04558
[ 12/20 ] <[0 1 1 1 1 1 0]> Train loss = 0.14158| Valid loss = 0.07043
[ 13/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.05646| Valid loss = -0.28299
[ 14/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07525| Valid loss = -0.06456
[ 15/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.11724| Valid loss = -0.01460
[ 16/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.09466| Valid loss = -0.05048
[ 17/20 ] <[0 0 0 0 1 1 0]> Train loss = 0.10721| Valid loss = 0.06884
[ 18/20 ] <[1 0 0 0 0 0 1]> Train loss = 0.07019| Valid loss = -0.06575
[ 19/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 20/20 ] <[0 0 1 0 1 1 0]> Train loss = 0.14026| Valid loss = 0.05565

====[ GA iter 03/50 ]====
[ 01/20 ] <[1 0 0 1 1 1 1]> Train loss = 0.12598| Valid loss = 0.10042
[ 02/20 ] <[0 0 0 1 1 0 0]> Train loss = 0.07353| Valid loss = 0.04558
[ 03/20 ] <[1 0 0 1 1 0 0]> Train loss = 0.09001| Valid loss = 0.06494
[ 04/20 ] <[0 0 0 1 1 1 1]> Train loss = 0.10851| Valid loss = 0.06983
[ 05/20 ] <[0 1 0 0 0 1 0]> Train loss = 0.11823| Valid loss = 0.05703
[ 06/20 ] <[0 0 0 0 1 0 1]> Train loss = 0.07667| Valid loss = -0.04462
[ 07/20 ] <[0 1 0 1 1 0 0]> Train loss = 0.10464| Valid loss = 0.04909
[ 08/20 ] <[0 0 0 1 1 0 1]> Train loss = 0.07769| Valid loss = -0.01834
[ 09/20 ] <[0 1 0 1 1 1 0]> Train loss = 0.13879| Valid loss = 0.08498
[ 10/20 ] <[0 0 1 0 1 0 1]> Train loss = 0.10946| Valid loss = 0.00752
[ 11/20 ] <[1 0 0 1 1 1 1]> Train loss = 0.12598| Valid loss = 0.10042
[ 12/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.09466| Valid loss = -0.05048
[ 13/20 ] <[1 0 1 0 0 1 0]> Train loss = 0.13207| Valid loss = -0.00874
[ 14/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 15/20 ] <[1 1 1 1 0 0 1]> Train loss = 0.11724| Valid loss = -0.01460
[ 16/20 ] <[0 1 0 0 0 0 1]> Train loss = 0.08180| Valid loss = -0.07268
[ 17/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09057| Valid loss = 0.01465
[ 18/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.05646| Valid loss = -0.28299
[ 19/20 ] <[1 0 0 0 1 0 1]> Train loss = 0.09119| Valid loss = 0.05430
[ 20/20 ] <[1 1 1 1 0 1 0]> Train loss = 0.14940| Valid loss = 0.03480

====[ GA iter 04/50 ]====
[ 01/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.09466| Valid loss = -0.05048
[ 02/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.05646| Valid loss = -0.28299
[ 03/20 ] <[0 1 1 0 0 0 1]> Train loss = 0.08805| Valid loss = -0.09413
[ 04/20 ] <[0 0 1 0 0 1 0]> Train loss = 0.12236| Valid loss = 0.02533
